Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
Durvalumab Solution For Infusion 120 Mg/2.4ml & 500 Mg/10ml,"Durvalumab 50.0000 Mg/Ml,L-Histidine 13.0000 Mm,L-Histidine Hydrochloride Monohydrate 13.0000 Mm,Α,Α-Trehalose Dihydrate 275.0000 Mm,Polysorbate 80 0.0200 % W/V,Water For Injection 50.0000 M Approximately","Durvalumab In Combination With Platinum-Based Chemotherapy, Followed By Maintenance With Durvalumab In Combination With Olaparib, Is Indicated For The First Line Treatment Of Patients With Advanced Or Recurrent Endometrial Cancer.]",01-JUL-2025,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 120 Mg/2.4ml & 500 Mg/10ml,"Durvalumab 50.0000 Mg/Ml,L-Histidine 13.0000 Mm,L-Histidine Hydrochloride Monohydrate 13.0000 Mm,Α,Α-Trehalose Dihydrate 275.0000 Mm,Polysorbate 80 0.0200 % W/V,Water For Injection 50.0000 M Approximately","Urothelial Carcinoma: Imfinzi In Combination With Cisplatin-Based Chemotherapy As Neoadjuvant Treatment, Followed By Imfinzi As Monotherapy Adjuvant Treatment After Radical Cystectomy, Is Indicated For The Treatment Of Patients With Muscle Invasive Bladder Cancer (Mibc).",14-JUL-2025,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 120 Mg/2.4 Ml And 500 Mg/10 Ml,"Α,Α-Trehalose Dihydrate 250.0000 Milligram (Mg),L-Histidine 4.8000 Milligram (Mg),L-Histidine Hydrochloride Monohydrate 6.5000 Milligram (Mg),Durvalumab 120.0000 Milligram (Mg),Water For Injection 2200.0000 Mg Approximately,Polysorbate 80 0.5000 Milligram (Mg)","Durvalumab In Combination With Carboplatin And Paclitaxel Is Indicated For The First-Line Treatment Of Adults With Primary Advanced Or Recurrent Endometrial Cancer Who Are Candidates For Systemic Therapy, Followed By Maintenance Treatment With: • Durvalumab As Monotherapy In Endometrial Cancer That Is Mismatch Repair Deficient (Dmmr)",09-FEB-2026,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 120 Mg/2.4 Ml And 500 Mg/10 Ml,"Α,Α-Trehalose Dihydrate 1040.0000 Milligram (Mg),Water For Injection (Wfi) 9000.0000 Mg Approximately,Durvalumab 500.0000 Milligram (Mg),L-Histidine 20.0000 Milligram (Mg),L-Histidine Hydrochloride Monohydrate 27.0000 Milligram (Mg),Polysorbate 80 2.0000 Milligram (Mg)","Durvalumab In Combination With Carboplatin And Paclitaxel Is Indicated For The First-Line Treatment Of Adults With Primary Advanced Or Recurrent Endometrial Cancer Who Are Candidates For Systemic Therapy, Followed By Maintenance Treatment With: • Durvalumab As Monotherapy In Endometrial Cancer That Is Mismatch Repair Deficient (Dmmr)",09-FEB-2026,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 120 Mg/2.4 Ml And 500 Mg/10 Ml,"Durvalumab 120.0000 Milligram (Mg),L-Histidine 4.8000 Milligram (Mg),L-Histidine Hydrochloride Monohydrate 6.5000 Milligram (Mg),Α,Α-Trehalose Dihydrate 250.0000 Milligram (Mg),Polysorbate 80 0.5000 Milligram (Mg),Water For Injection 2200.0000 Milligram (Mg)","Durvalumab In Combination With Flot Chemotherapy As Neoadjuvant And Adjuvant Treatment, Followed By Adjuvant Durvalumab Monotherapy, Is Indicated For The Treatment Of Patients With Resectable Gastric Or Gastroesophageal Junction Adenocarcinoma.",30-JAN-2026,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 120 Mg/2.4 Ml And 500 Mg/10 Ml,"Durvalumab 500.0000 Milligram (Mg),L-Histidine 20.0000 Milligram (Mg),L-Histidine Hydrochloride Monohydrate 27.0000 Milligram (Mg),Α,Α-Trehalose Dihydrate 1040.0000 Milligram (Mg),Polysorbate 80 2.0000 Milligram (Mg),Water For Injection (Wfi) 9000.0000 Mg Approximately","Durvalumab In Combination With Flot Chemotherapy As Neoadjuvant And Adjuvant Treatment, Followed By Adjuvant Durvalumab Monotherapy, Is Indicated For The Treatment Of Patients With Resectable Gastric Or Gastroesophageal Junction Adenocarcinoma.",30-JAN-2026,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 500mg/10ml And 120mg/2.4ml,"Durvalumab 120.0000 Milligram (Mg),L-Histidine 4.8000 Milligram (Mg),L-Histidine  Hydrochloride  Monohydrate 6.5000 Milligram (Mg),Α,Α-Trehalose Dihydrate 250.0000 Milligram (Mg),Polysorbate 80 0.5000 Milligram (Mg),Water For Injection 2200.0000 Mg Approximately","Non-Small Cell Lung Cancer (Nsclc), Small Cell Lung Cancer (Sclc),Biliary Tract Cancer (Btc), Hepatocellular Carcinoma (Hcc),  Endometrial Cancer,  Bladder Cancer",04-DEC-2025,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 500mg/10ml And 120mg/2.4ml,"Durvalumab 500.0000 Milligram (Mg),L-Histidine 20.0000 Milligram (Mg),L-Histidine Hydrochloride Monohydrate 27.0000 Milligram (Mg),Α,Α-Trehalose Dihydrate 1040.0000 Milligram (Mg),Polysorbate 80 2.0000 Milligram (Mg),Water For Injection 9000.0000 Mg Approximately",Durvalumab  Is Indicated For The Treatment Of Patients With Unresectable Hepatocellular Carcinoma (Uhcc) Who Have Not Received Prior Systemic Therapy.,16-MAR-2026,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 500mg/10ml And 120mg/2.4ml,"Durvalumab 120.0000 Milligram (Mg),L-Histidine 4.8000 Milligram (Mg),L-Histidine Hydrochloride Monohydrate 6.5000 Milligram (Mg),Α,Α-Trehalose Dihydrate 250.0000 Milligram (Mg),Polysorbate 80 0.5000 Milligram (Mg),Water For Injection 2200.0000 Mg Approximately",Durvalumab  Is Indicated For The Treatment Of Patients With Unresectable Hepatocellular Carcinoma (Uhcc) Who Have Not Received Prior Systemic Therapy.,16-MAR-2026,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion (Imfinzi),"Durvalumab 50.0000 Mg/Ml,L-Histidine 13.0000 Mm,L-Histidine Hydrochloride Monohydrate 13.0000 Mm,Α,Α-Trehalose Dihydrate 275.0000 Mm,Polysorbate 80 0.0200 % W/V,Water For Injection 50.0000 M Approx.",Imfinzi In Combination With Chemotherapy Is Indicated For The Treatment Of Patients With Locally Advanced Or Metastatic Biliary Tract Cancer (Btc).,13-FEB-2023,AstraZeneca Pharma India Limited
Dutasteride 0.5 Mg+Silodosin 4 Mg,Silodosin 4.0000 Milligram (Mg),For The Treatment Of Benign Prostatic Hyperplasia,06-JUN-2022,Optimus Pharma Private Limited
Dutasteride 0.5 Mg+Silodosin 4 Mg,Dutasteride 0.5000 Milligram (Mg),For The Treatment Of Benign Prostatic Hyperplasia,06-JUN-2022,Optimus Pharma Private Limited
Dutasteride 0.5 Mg+Silodosin 8 Mg,Silodosin 8.0000 Milligram (Mg),For The Treatment Of Benign Prostatic Hyperplasia,11-FEB-2022,Optimus Pharma Private Limited
Dutasteride 0.5 Mg+Silodosin 8 Mg,Dutasteride 0.5000 Milligram (Mg),For The Treatment Of Benign Prostatic Hyperplasia,11-FEB-2022,Optimus Pharma Private Limited
Dutasteride capsules,Each soft gelatin capsule contains; dutasteride-0.5mg,By urologists only- for the treatment of symptomatic Benign Prostatic hyperplasia (BPH) in men with an enlarged prostate.,13/02/2004,Dr. Reddy labs.
Dutasteride+Silodosin,"Silodosin 4.0000 Milligram (Mg),Dutasteride 0.5000 Milligram (Mg)",It Is Indicated For The Treatment Of The Signs And Symptoms Of Bph In Men With An Enlarged Prostate,07-FEB-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dutasteride+Silodosin,"Silodosin 4.0000 Milligram (Mg),Dutasteride 0.5000 Milligram (Mg)",For The Treatment Of The Signs And Symptoms Of Bph In Men With An Enlarged Prostate.,29-DEC-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dutasteride+Silodosin,"Silodosin 8.0000 Milligram (Mg),Dutasteride 0.5000 Milligram (Mg)",For The Treatment Of The Signs And Symptoms Of Bph In Men With An Enlarged Prostate.,29-DEC-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dutasteride+Silodosin,"Silodosin 8.0000 Milligram (Mg),Dutasteride 0.5000 Milligram (Mg)",It Is Indicated For The Treatment Of The Signs And Symptoms Of Bph In Men With An Enlarged Prostate,18-NOV-2019,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Dydrogesterone Extended Release Tablets,Dydrogesterone 20.0000 Milligram (Mg),Cases Where Progesterone Supplement Is Needed,10-NOV-2023,Zydus Healthcare Limited
Dydrogesterone Extended Release Tablets 30 Mg,Dydrogesterone 30.0000 Milligram (Mg),Dydrogesterone Extended Release Tablets 30mg is indicated For the treatment of Endometriosis,18-JAN-2024,Zydus Healthcare Limited
Dydrogesterone Modified Release Tablets 20 Mg,Dydrogesterone 20.0000 Milligram (Mg),Dydrogesterone Modified Release Tablets 20mgis indicated in cases where progesterone supplement is needed,21-JAN-2025,Abbott India Limited
Dydrogesterone Sr Tablets 20/30 Mg,Dydrogesterone (As Sustained Release) 20.0000 Milligram (Mg),Dydrogesterone Sustained Release Tablets 20/30 mg is indicated For the treatment of Endometriosis,12-JAN-2024,RAVENBHEL HEALTHCARE PVT LTD.
Dydrogesterone Sr Tablets 20/30 Mg,Dydrogesterone (As Sustained Release) 30.0000 Milligram (Mg),Dydrogesterone Sustained Release Tablets 20/30 mg is indicated For the treatment of Endometriosis,12-JAN-2024,RAVENBHEL HEALTHCARE PVT LTD.
Dydrogesterone Sustained Release Tablets,Dydrogesterone 20.0000 Milligram (Mg),Dydrogesterone Sustained Release Tablets 20 Mg Is Indicated In Cases Where Progesterone Supplement Is Needed.,17-MAR-2026,Mankind Pharma Ltd. 
Dydrogesterone Sustained Release Tablets,Dydrogesterone 30.0000 Milligram (Mg),Dydrogesterone Sustained Release Tablets 30 Mg Is Indicated For The Treatment Of Endometriosis.,17-MAR-2026,Mankind Pharma Ltd. 
Dydrogesterone Sustained Release Tablets 20 Mg/30 Mg,Dydrogesterone (As Sustained Release) 30.0000 Milligram (Mg),It Is Indicated For The Treatment Of Endometriosis.,22-AUG-2025,RAVENBHEL HEALTHCARE PVT LTD.
Dydrogesterone Sustained Release Tablets 20 Mg/30 Mg,Dydrogesterone (As Sustained Release) 20.0000 Milligram (Mg),It Is Indicated For The Treatment Of Endometriosis.,22-AUG-2025,RAVENBHEL HEALTHCARE PVT LTD.
Each 1000 ml of emulsion contains: Medium chain triglycerides 100 gm + Soya oil 80 gm + Omega-3  acidtriglycerides 20 gm + egg lecithin 12 gm + Glycerl 25 gm + Sodium oleate 0.30 gm + Alpha -tocopherol 0.20 gm +Ascorbypalmitate 0.30 gm + Sodium hydroxide Þ¡,,"For the supply of fats, including essential omega-6 fatty acids and omega-3 fatty acids, as part of a parenteral nutrition regimen in adults if oral or enteral nutrition is impossible, inadequte or contraindicated.",14.05.09,
Each 100 Ml Infusion Bottle Contains Levetiracetam Ip 500mg/1000 Mg/1500 Mg,"Levetiracetam 500.0000 Mg/100 Ml,Sodium Chloride 820.0000 Mg/100 Ml","As Adjunctive Therapy In Adult (16 Years And Older) With The Following Types Of Seizures When Oral Administration Is Temporarily Not Feasible. Partial Onset Seizures, Myoclonic Seizures In Patients With Juvenile Myoclonic Epilepsy, Primary Generalized Tonic-Clonic Seizures In Adults With Idiopathic Generalized Epilepsy",22-JAN-2020,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each 100 Ml Infusion Bottle Contains Levetiracetam Ip 500mg/1000 Mg/1500 Mg,"Levetiracetam 1500.0000 Mg/100 Ml,Sodium Chloride 540.0000 Mg/100 Ml","As Adjunctive Therapy In Adult (16 Years And Older) With The Following Types Of Seizures When Oral Administration Is Temporarily Not Feasible. Partial Onset Seizures, Myoclonic Seizures In Patients With Juvenile Myoclonic Epilepsy, Primary Generalized Tonic-Clonic Seizures In Adults With Idiopathic Generalized Epilepsy",22-JAN-2020,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each 100 Ml Infusion Bottle Contains Levetiracetam Ip 500mg/1000 Mg/1500 Mg,"Levetiracetam 1000.0000 Mg/100 Ml,Sodium Chloride 750.0000 Mg/ 100 Ml","As Adjunctive Therapy In Adult (16 Years And Older) With The Following Types Of Seizures When Oral Administration Is Temporarily Not Feasible. Partial Onset Seizures, Myoclonic Seizures In Patients With Juvenile Myoclonic Epilepsy, Primary Generalized Tonic-Clonic Seizures In Adults With Idiopathic Generalized Epilepsy",22-JAN-2020,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each 15 gm sachet contains: Lactulose 10 gm + Ispaghula husk 3.50 gm granules,,For the treatment of chronic idiopathic constipation in adult patients only.,16.05.09,
Each 5 Ml Of Reconstituted Syrup Contains: - Faropenem Sodium Hydrate Jp Equivalent To Faropenem……….100 Mg,Faropenem Sodium Hydrate  Equivalent To Faropenem 100.0000 Mg/5ml,"For The Treatment Of Upper And Lower Respiratory Tract Infection, Urinary Tract Infection And Skin & Skin Structure Infection.",07-MAR-2022,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each 5 Ml Of Reconstituted Syrup Contains: - Faropenem Sodium Hydrate Jp Equivalent To Faropenem……….50 Mg,Faropenem Sodium Hydrate 50.0000 Mg/5ml,"For The Treatment Of Upper And Lower Respiratory Tract Infection, Urinary Tract Infection And Skin And  Skin Structure Infection.",22-DEC-2021,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each bowel preparatory kit contains: One enteric coated tablet Biscodyl IP 5mg & One sachet of powder for reconstitution contains: Polyethylene glycol 3350NF: 210gm + Sodium Bicarbonate IP 2.86gm + Sodium Chloride IP 5.6gm + Potassium Chloride IP 0.74gm,,For bowel cleansing prior to colonoscopy in adult patients only.,11.02.11,
Each Capsule Contains: Itraconazole Bp 200 Mg,Itraconazole 200.0000 Milligram (Mg),For The Treatment Of Onychymycosis Of The Toenail Due To Trichophyton Rubrum Or T. Mentagrophytes In Nonimmunocompromised Patients,22-SEP-2020,PURE & CURE HEALTHCARE Pvt. Ltd.
Each Capsule Contains Pimavanserin Tartrate 40mg Eq. To Pimavanserin….34mg,Pimavanserin Tartrate 34.0000 Milligram (Mg),Is Indicated For The Treatment Of Hallucinations And Delusions Associated With Parkinson’S Disease Psychosis.,21-JAN-2025,PURE & CURE HEALTHCARE Pvt. Ltd.
Each Combikit contains Part A - One film coated tablet of Tenofovir Disoproxil Fumarate 300mg eq. to Tenofovir 245mg + Emtricitabine 200mg. Part B - One film coated tablet of Atazanavir sulphate eq. to Atazanavir 300mg + Ritonavir 100mg,,For the treatment of HIV infection in adults.,23.08.11,
Each Combipack contains: -A) One tablet of Risedronate Sodium -Each film coated tablet contains: Risedronate Sodium (as Risedronate Sodium Hemi-Pentahydrate) - 35 mg B) Six Capsules of FDC of Calcitriol Calcium carbonate + Zinc Each soft gelatin capsule cÞ¡,,For the treatment of Osteoporosis in post menopausal women.,30.09.11,
"Each Combipack contains Part (A) One Strip of FDC of Ramipril + Amlodipine Tablets;-Each uncoated tablet contains Ramipril IP - 5mg, Amlodipine besylate IP eq to Amlodipine 5mg B) Each Film coated tablet contains ;- Atorvastatin Calcium IP eq to AtorvastaÞ¡",,For the treatment of hypertension and as an adjunct to diet in patients to reduce elevated total cholesterol and triglyceride levels hypertension and dyslipidemia. The polypack should be used in patients for whom treatment with all of the three i.e RamiprÞ¡,28.11.11,
Each Combipack of 21 tablets contains : A) FDC of Norgestrel & Ethinyl estradiol tablets IP Each sugar coated white tablet contains: Norgestrel 0.30mg & Ethinyl estradiol 0.03mg B) 7 tablets of Ferrous Fumarate: Each sugar coated tablet contains : -FerrouÞ¡,,As contraceptive pill for women,27.07.11,
Each Dual Release Gastro- Resistant Tablet Contains: Esomeprazole Magnesium Trihydrate Ip Eq. To Esomeprazole .................. 80 Mg,Esomeprazole Magnesium Trihydrate Ip Eq. To Esomeprazole 80.0000 Milligram (Mg),"For The Treatment Of Moderate To Severe Refractory Gastro-Oesophageal, Reflux Disease (Gerd) For 4 Weeks Only.",17-MAY-2023,PURE & CURE HEALTHCARE Pvt. Ltd.
Each Dual Release Gastro-Resistant Tablet Contains: - Pantoprazole Sodium Ip Eq. To Pantoprazole…………80 Mg,Pantoprazole Sodium 80.0000 Milligram (Mg),For The Treatment Of Moderate To Severe Refractory Gastrooesophageal Reflux Disease (Gerd) For 4 Weeks Only,26-APR-2022,PURE & CURE HEALTHCARE Pvt. Ltd.
Each film coated bilayred tablet contains: Metoprolol 25mg/50mg + Chlorthalidone 12.5mg,,For the tretament of patients with mild to modrate essential hypertension.,13.04.09,
Each film coated bilayred tablet contains: Metoprolol 25mg/50mg + Chlorthalidone 6.25 mg /12.5mg,,Addtional strength.,25.04.09,
Each Film Coated Extended Release Tablet Contains: Amantadine Hydrochloride Equivalent To Amantadine ……………………129 Mg/193 Mg,Amantadine Hydrochloride 129.0000 Milligram (Mg),For The Treatment Of Parkinson’S Disease And For The Treatment Of Drug-Induced Extrapyramidal Reactions In Adult Patients,10-JAN-2023,PURE & CURE HEALTHCARE Pvt. Ltd.
Each Film Coated Extended Release Tablet Contains: Amantadine Hydrochloride Equivalent To Amantadine ……………………129 Mg/193 Mg,Amantadine Hydrochloride 193.0000 Milligram (Mg),For The Treatment Of Parkinson’S Disease And For The Treatment Of Drug-Induced Extrapyramidal Reactions In Adult Patients,10-JAN-2023,PURE & CURE HEALTHCARE Pvt. Ltd.
Each Film Coated Extended Release Tablet Contains: Dydrogesterone Ip	20mg / 30 Mg,Dydrogesterone 20.0000 Milligram (Mg),For The Treatment Of Endometriosis In Women,23-JUL-2025,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each Film Coated Extended Release Tablet Contains: Dydrogesterone Ip	20mg / 30 Mg,Dydrogesterone 30.0000 Milligram (Mg),For The Treatment Of Endometriosis In Women,23-JUL-2025,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each Film Coated Extended Release Tablet Contains: Pregabalin Ip 82.5 Mg/165 Mg,Pregabalin 82.5000 Milligram (Mg),For Treatment Of Peripheral Neuropathic Pain In Adults,08-MAR-2021,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each Film Coated Extended Release Tablet Contains: Pregabalin Ip 82.5 Mg/165 Mg,Pregabalin 165.0000 Milligram (Mg),For Treatment Of Peripheral Neuropathic Pain In Adults,08-MAR-2021,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each Film Coated Extended Release Tablet Contains Tofacitinib Citrate Eq. To Tofacitinib….11mg/22mg,Tofacitinib Citrate Equ. To Tofacitinib 11.0000 Milligram (Mg),"Rheumatoid Arthritis: Indicated For The Treatment Of Adult Patients With Moderately To Severely Active Rheumatoid Arthritis (Ra) Who Have Had An Inadequate Response Or Intolerance To One Or More Tnf Blockers. Psoriatic Arthritis: Indicated For The Treatment Of Adult Patients With Active Psoriatic Arthritis (Psa) Who Have Had An Inadequate Response Or Intolerance To One Or More Tnf Blockers. Ulcerative Colitis: Indicated For The Treatment Of Adult Patients With Moderately To Severely Active Ulcerative Colitis (Uc), Who Have An Inadequate Response Or Intolerance To One Or More Tnf Blockers",09-JAN-2023,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each Film Coated Extended Release Tablet Contains Tofacitinib Citrate Eq. To Tofacitinib….11mg/22mg,Tofacitinib Citrate Equ. To Tofacitinib 22.0000 Milligram (Mg),"Rheumatoid Arthritis: Indicated For The Treatment Of Adult Patients With Moderately To Severely Active Rheumatoid Arthritis (Ra) Who Have Had An Inadequate Response Or Intolerance To One Or More Tnf Blockers. Psoriatic Arthritis: Indicated For The Treatment Of Adult Patients With Active Psoriatic Arthritis (Psa) Who Have Had An Inadequate Response Or Intolerance To One Or More Tnf Blockers. Ulcerative Colitis: Indicated For The Treatment Of Adult Patients With Moderately To Severely Active Ulcerative Colitis (Uc), Who Have An Inadequate Response Or Intolerance To One Or More Tnf Blockers",09-JAN-2023,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Each Film Coated Prolonged Release Tablet Contains Ivabradine Hydrochloride Eq. To Ivabradine 10mg/15mg,Ivabradine Hydrochloride Eq. To Ivabradine 10mg 10.0000 Milligram (Mg),For The Treatment Of Chronic Stable Angina Pectoris In Patients With Coronary Artery Disease And Treatment Of Chronic Heart Failure.,28-OCT-2020,PURE & CURE HEALTHCARE Pvt. Ltd.
Each Film Coated Prolonged Release Tablet Contains Ivabradine Hydrochloride Eq. To Ivabradine 10mg/15mg,Ivabradine Hydrochloride Eq. To Ivabradine 15 Mg 15.0000 Milligram (Mg),For The Treatment Of Chronic Stable Angina Pectoris In Patients With Coronary Artery Disease And Treatment Of Chronic Heart Failure.,28-OCT-2020,PURE & CURE HEALTHCARE Pvt. Ltd.
Each Film Coated Prolonged Release Tablets Contains : Mirabegron 25 Mg/50 Mg,Mirabegron 50.0000 Milligram (Mg),"Symptomatic Treatment Of Urgency, Increased Micturition Frequency And / Or Urgency Incontinence As May Occur In Patients With Over Active Bladder (Oab) Syndrome",03-SEP-2020,PURE & CURE HEALTHCARE Pvt. Ltd.
Each Film Coated Prolonged Release Tablets Contains : Mirabegron 25 Mg/50 Mg,Mirabegron 25.0000 Milligram (Mg),"Symptomatic Treatment Of Urgency, Increased Micturition Frequency And / Or Urgency Incontinence As May Occur In Patients With Over Active Bladder (Oab) Syndrome",03-SEP-2020,PURE & CURE HEALTHCARE Pvt. Ltd.
